update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,8320,369.7333769442144,22,1.308290587938749,1.8294502563444672,0.0,3.9749999046325684,50.13846153846154,30.8693908255545,0.0,112.0,1.9056177392150417,0.06779908196944179,-0.16502541687452432,0.2986006506464698,0.24078893647529612,1.308290587938749,1.8294502563444672,0.0,3.9749999046325684
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,16640,354.60716586420955,45,1.1790123436186049,1.7571932335892535,0.0,3.9944443702697754,91.87777777777778,68.06187181573637,2.0,230.0,1.920137795535001,0.1410452165838444,-0.14967866783792322,0.30027506297284906,0.24356891863970873,1.1790123436186049,1.7571932335892535,0.0,3.9944443702697754
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,24960,329.0562421377148,71,1.1391379274170974,1.730679664662125,0.0,3.9861111640930176,68.26896551724138,66.40183370675467,2.0,305.0,1.8844801837747747,0.23468271575190805,-0.23071330018115765,0.44802419163964013,0.35135712252415197,1.1391379274170974,1.730679664662125,0.0,3.9861111640930176
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,33280,302.022285698262,98,1.2835479790514166,1.822836509430941,0.0,3.991666555404663,45.18181818181818,50.985770174928014,2.0,324.0,1.8517957636804292,0.3297743833426273,-0.330575936219909,0.6721794099518748,0.5592973743764498,1.2835479790514166,1.822836509430941,0.0,3.991666555404663
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,41600,295.7698202409275,126,1.161681449005359,1.7895050963818702,0.0,3.991666555404663,31.186311787072242,26.200446308742784,2.0,142.0,1.839934078129855,0.34736625443805347,-0.2588996024745883,0.6120946407318115,0.7369232320112888,1.161681449005359,1.7895050963818702,0.0,3.991666555404663
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,49920,295.48457294494773,155,1.2790257637051567,1.839061557355415,0.0,3.9944443702697754,32.03623188405797,31.937872076233006,2.0,266.0,1.814012455217766,0.4233205968683416,-0.3391188947540341,0.7163252595699194,0.8068952970771123,1.2790257637051567,1.839061557355415,0.0,3.9944443702697754
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
