update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,738.5521475093321,2,0.6236842180553236,1.4403626621482806,0.0,3.980555534362793,43.421052631578945,36.67971731147694,1.0,119.0,1.9199378490447998,-0.08290317375212908,-0.10463795345276594,0.16627635341137648,0.15482218270108594,0.6236842180553236,1.4403626621482806,0.0,3.980555534362793
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,736.5849067201151,5,0.8052083253860474,1.5697195836726765,0.0,3.9277777671813965,77.0,49.180788932265,17.0,207.0,1.909285306930542,0.01933132937119808,-0.16811798326671124,0.2866046093404293,0.2001938088188849,0.8052083253860474,1.5697195836726765,0.0,3.9277777671813965
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,718.962860305457,8,0.11577060914808704,0.6341017412652121,0.0,3.5888888835906982,90.3225806451613,87.46995321778168,1.0,324.0,1.9161221385002136,0.06859988486394286,-0.009231000440195203,0.05010410270188004,0.07727535283825195,0.11577060914808704,0.6341017412652121,0.0,3.5888888835906982
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,694.6085747372576,11,0.5689102502969595,1.3359873769239639,0.0,3.8888888359069824,65.26923076923077,56.027848633382376,2.0,192.0,1.9079037457704544,0.11939794290810823,-0.10060129221528769,0.1962027121335268,0.16840435241356722,0.5689102502969595,1.3359873769239639,0.0,3.8888888359069824
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,719.9162872620277,14,0.6678184299934201,1.4723336881995637,0.0,3.98888897895813,56.21951219512195,59.0074456629372,1.0,265.0,1.8739729225635529,0.21744746156036854,-0.09026986127719283,0.28556118346750736,0.3793804335575395,0.6678184299934201,1.4723336881995637,0.0,3.98888897895813
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,706.5017068849321,17,0.7708937240683514,1.563179623402535,0.0,3.9861111640930176,41.608695652173914,44.31531203666937,1.0,220.0,1.8531803488731384,0.24647828750312328,-0.1067138398066163,0.3605598621070385,0.32346324449238517,0.7708937240683514,1.563179623402535,0.0,3.9861111640930176
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,700.5774214492994,20,0.5064814824324387,1.3208413432048718,0.0,3.980555534362793,55.666666666666664,54.39284140933618,1.0,228.0,1.819660872220993,0.22369329631328583,-0.0014510088367387652,0.16029869951307774,0.26760956991479207,0.5064814824324387,1.3208413432048718,0.0,3.980555534362793
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,677.9903165828459,23,0.501207735227502,1.2953457512962538,0.0,3.9861111640930176,76.21739130434783,59.49348266954313,2.0,205.0,1.8457964062690735,0.17340444959700108,-0.019015598576515913,0.12214784882962704,0.33523593856556855,0.501207735227502,1.2953457512962538,0.0,3.9861111640930176
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,684.3217656050251,26,0.6755319199663528,1.4915502461338006,0.0,3.9833333492279053,48.12765957446808,59.79170120359749,1.0,240.0,1.8045019060373306,0.15542194247245789,-0.06630521465558559,0.2555248877033591,0.30557956058363034,0.6755319199663528,1.4915502461338006,0.0,3.9833333492279053
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,716.4562147670173,28,0.43626542886098224,1.2340513581907167,0.0,3.9749999046325684,80.55555555555556,75.26340576212041,9.0,324.0,1.8252598643302917,0.15068808384239674,0.0006940581661183387,0.07319501275196671,0.22914460224197178,0.43626542886098224,1.2340513581907167,0.0,3.9749999046325684
11,22528,704.8754688914096,31,0.4644781098221288,1.254015564221739,0.0,3.991666555404663,71.72727272727273,75.69246899301774,1.0,324.0,1.8357755690813065,0.16669128648936749,0.002680586534552276,0.09464488737285137,0.2188516427907698,0.4644781098221288,1.254015564221739,0.0,3.991666555404663
