update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1870,30638080,298.64677230588626,101618,3.949660284162577,0.1729332606088144,0.0,3.9944443702697754,15.432737535277516,8.053731875068607,2.0,91.0,0.6877169283106923,3.601993754506111,-0.0017198508176079486,0.018322085386898834,0.0995462389925182,3.949660284162577,0.1729332606088144,0.0,3.9944443702697754
1871,30654464,297.38818583633235,101673,3.952462114862629,0.16658856759300278,0.0,3.9944443702697754,14.611888111888112,7.143244542144672,2.0,78.0,0.615693274885416,3.630610127002001,-0.023306686867726967,0.015421807336679194,0.08410699305549979,3.952462114862629,0.16658856759300278,0.0,3.9944443702697754
1872,30670848,300.3959413716379,101727,3.9574273669380275,0.1177993371084956,0.0,3.9944443702697754,14.097497842968076,6.757348777840901,2.0,46.0,0.5773366959765553,3.6453016586601734,-0.007736788160400465,0.014672049117507413,0.11435599160810142,3.9574273669380275,0.1177993371084956,0.0,3.9944443702697754
1873,30687232,297.3083470819301,101782,3.9625745321678583,0.01717350862770548,3.8777778148651123,3.9944443702697754,13.473162675474814,6.1824635312634815,2.0,44.0,0.5674157543107867,3.67002634704113,0.0031368095133075258,0.005376105651521357,0.05319785024142587,3.9625745321678583,0.01717350862770548,3.8777778148651123,3.9944443702697754
1874,30703616,297.6992865663716,101837,3.9551845536208114,0.16277367238363333,0.0,3.9944443702697754,13.757929883138564,6.596389440026969,2.0,46.0,0.616226707585156,3.6520909182727337,0.005448801765851385,0.02117561238264898,0.089201477000966,3.9551845536208114,0.16277367238363333,0.0,3.9944443702697754
1875,30720000,297.9836432705534,101892,3.96085106106255,0.018773930320244943,3.8527777194976807,3.9944443702697754,14.093613298337708,6.75861676620069,2.0,53.0,0.6048597740009427,3.6343161687254906,-0.003773278494918486,0.0073897205729736015,0.06439278496370837,3.96085106106255,0.018773930320244943,3.8527777194976807,3.9944443702697754
1876,30736384,297.2340407385798,101948,3.957555448586506,0.117895296054905,0.0,3.9944443702697754,14.048401037165082,6.741253787623135,2.0,79.0,0.5840687723830342,3.6390819884836674,-0.008174370801498299,0.012923295551445335,0.06442028007426681,3.957555448586506,0.117895296054905,0.0,3.9944443702697754
1877,30752768,297.4696603245049,102003,3.9544044098611604,0.16389013203595218,0.0,3.9944443702697754,14.253389830508475,11.033740105351356,2.0,324.0,0.5745646310970187,3.6488726660609245,-0.008635511626380321,0.013551337397075258,0.06417829220389096,3.9544044098611604,0.16389013203595218,0.0,3.9944443702697754
1878,30769152,296.93747767874777,102058,3.958705384402029,0.11560604946368849,0.0,3.9944443702697754,13.675540765391014,6.402699416318548,2.0,47.0,0.5659887427464128,3.657948423177004,-0.005488351518579293,0.010844606222235598,0.07672869208534955,3.958705384402029,0.11560604946368849,0.0,3.9944443702697754
1879,30785536,299.5539212170588,102113,3.9585651903088137,0.11633681467504263,0.0,3.9944443702697754,13.7141652613828,6.342800224748513,2.0,42.0,0.5880476571619511,3.6532921120524406,-0.010773202993732411,0.013111125124851242,0.07199308944490151,3.9585651903088137,0.11633681467504263,0.0,3.9944443702697754
1880,30801920,299.707070899453,102167,3.953376458993549,0.16619081848574294,0.0,3.9944443702697754,14.296684118673648,6.205408284051277,2.0,48.0,0.6194485248997808,3.6555146761238575,0.005534195627660665,0.013698571590794018,0.08699612170438585,3.953376458993549,0.16619081848574294,0.0,3.9944443702697754
1881,30818304,297.734889350808,102222,3.9605840671778347,0.018697151022024672,3.827777862548828,3.9944443702697754,14.189730200174065,6.730976081124246,2.0,62.0,0.6522167259827256,3.6453431993722916,0.001940276976711175,0.00679076460073702,0.061241252091225315,3.9605840671778347,0.018697151022024672,3.827777862548828,3.9944443702697754
1882,30834688,300.0306579179296,102277,3.9513423740594096,0.16945624859105474,0.0,3.9944443702697754,14.922171945701358,7.255474250169252,2.0,58.0,0.6548939934000373,3.6290802881121635,0.011528901361089083,0.01526189878495643,0.08560128094713687,3.9513423740594096,0.16945624859105474,0.0,3.9944443702697754
1883,30851072,297.46012155052443,102332,3.9542685682049385,0.16457157463366967,0.0,3.9944443702697754,14.023890784982935,6.786312455150096,2.0,57.0,0.625931354239583,3.6466271951794624,-0.007394086763270025,0.01600204734131694,0.1058364884229028,3.9542685682049385,0.16457157463366967,0.0,3.9944443702697754
1884,30867456,296.21318404488983,102387,3.9610047247017643,0.0193088113751559,3.8111112117767334,3.9944443702697754,14.038294168842471,6.95117343041294,2.0,68.0,0.6191109968349338,3.638908937573433,0.001942061955560348,0.007987374541698955,0.06822611768031438,3.9610047247017643,0.0193088113751559,3.8111112117767334,3.9944443702697754
1885,30883840,298.17161498638956,102442,3.9449902346301635,0.25635081295917955,0.0,3.9944443702697754,13.88628762541806,7.530347471466204,2.0,106.0,0.5964504489675164,3.647072721272707,-0.0029503063178708544,0.019307270733406767,0.08015915185828229,3.9449902346301635,0.25635081295917955,0.0,3.9944443702697754
1886,30900224,297.07880701770677,102497,3.958440785051094,0.1162269657541104,0.0,3.9944443702697754,13.761984861227923,6.4308210837635045,2.0,52.0,0.5754298679530621,3.6523135378956795,-0.00897115420184491,0.011473486283648526,0.06834636241064852,3.958440785051094,0.1162269657541104,0.0,3.9944443702697754
1887,30916608,300.04266137893626,102552,3.951550480286146,0.19982723194231633,0.0,3.9944443702697754,13.830522765598651,6.57521888887857,2.0,58.0,0.6058804979547858,3.6503683030605316,0.0010640103555488167,0.022385312426195014,0.08993794600547975,3.951550480286146,0.19982723194231633,0.0,3.9944443702697754
1888,30932992,298.4785134597048,102607,3.956884892280959,0.1185306280753843,0.0,3.9944443702697754,14.2668416447944,6.636784294583023,2.0,53.0,0.5831076027825475,3.639623273164034,-0.008279106448753737,0.010195028087764513,0.06310705810411225,3.956884892280959,0.1185306280753843,0.0,3.9944443702697754
1889,30949376,297.6700321800562,102662,3.960759996035339,0.019272294432485165,3.7750000953674316,3.9944443702697754,14.126397248495271,6.938026833394627,2.0,81.0,0.5556223494932055,3.6450250670313835,-0.006142693140645861,0.007001932732237037,0.06533749666920498,3.960759996035339,0.019272294432485165,3.7750000953674316,3.9944443702697754
